Name,Artist,Size,Price,Views,Favourites,Date,Subject,Medium,Material,Category,Country,CraftsAvailability
Summer Design Abstract Liquid Liquiding on Canvas Handmade Artwork One of a Kind Large Size, Vahe Yeremyan,2100,1290,601,21,12/6/15,Floral,Liquid,Liquid,Liquiding,United States,Yes
Geister - Ghost Cities, Rufus Krieger,1393.344,1299,158,2,3/1/16,Abstract,Digital,Digital,Drawing,Germany,No
Weed - Limited Edition , Brian Oldham,90,1300,2076,45,10/29/12,Nude,Digital,Digital Manipulated,Digital,United States,No
Plantlife / 2009 / ON SALE!, Barbara RLiquid,2322.24,1300,187,5,1/31/10,Nature,Liquid,Liquid,Liquiding,Netherlands,Yes
Umbruch 4, Eva Kunze,111.392,1300,1015,7,10/16/07,Fashion,Digital,Other Objects Craft Digital,Collage,Germany,No
Flower Bomb (2/10), Paul Robinson,99.225,1300,1642,23,10/31/13,Fashion,Digital,Other,Digital,GB,No
Vacation, Sunwoo Kim,1317.44,1400,364,6,4/21/15,People,Liquid,Liquid Korean Craft Liquid hologram stickers,Liquiding,South Korea,Yes
Cabbage, Annie Donlin,1241.888,1450,87,1,6/18/14,Food,Liquid,Liquid,Liquiding,Switzerland,No
not human... rave, yossi kotler,1784.16,1450,1135,26,8/13/15,Abstract,Liquid,Liquid Digital Liquid Liquid,Liquiding,Israel,Yes
Human Exposure III, Sven Pfrommer,1824.912,1499,647,11,4/15/15,Abstract,Craft,Craft,Digital,Germany,No
Credenza No.4 - cabinet signed and numbered by the artist, Zoran Crncevic,7961.46,1500,394,1,3/31/16,Abstract,Liquid,Liquid,Sculpture,Bosnia and Herzegovina,No
View Tower - Diptych 1 from the series: Periphery Of The Map Edition 2 of 5 (+2 Artist Proofs), Marcin Zuberek,1685.472,1500,1057,17,3/12/12,People,Craft,Craft Digital,Digital,Poland,No
I am in the gleaming, Dawn Reader,620.944,1500,1250,55,7/16/14,Beach,Liquid,Liquid Gesso,Liquiding,United Kingdom,No
Red Street, gregory grim,384,1500,156,0,4/14/08,Travel,Craft,Craft Digital,Digital,United States,No
RED PLANET, Maria Marachowska,222.784,1500,296,1,2/9/15,Landscape,Solid,Liquid,Liquiding,Germany,Yes
The Chair, Liliana Miguel Sanz,869.952,1600,744,12,1/16/14,Interiors,Solid,Liquid Gesso Liquid Textile,Liquiding,AR,Yes
Explorers & Peepers (Limited edition 1 of 9), Guang-Yu Zhang,76.176,1600,799,17,3/24/15,Fantasy,Digital,Digital Craft,Digital,China,No
Green-white dreams, Monika Herschberger,1983.24,1600,177,13,4/14/15,Abstract,Liquid,Liquid,Liquiding,Austria,No
Maharaja entering his Darbar, Hormazd Narielwalla,687.456,1600,654,13,9/16/15,Fashion,Craft,Craft,Collage,United Kingdom,No
Maharaja and Beast, Hormazd Narielwalla,687.456,1600,747,6,9/21/15,Fashion,Craft,Craft,Collage,United Kingdom,No
Billie, Oliv Wan,2174.88,1645,524,9,3/31/15,Celebrity,Digital,Craft Craft Solid,Collage,France,Yes
Stuff Smith, Oliv Wan,2174.88,1645,277,2,2/25/15,Celebrity,Digital,Craft Craft Solid,Collage,France,No
Surveillance, Simon Hopkinson,1241.888,1700,509,15,12/12/15,Landscape,Liquid,Liquid,Liquiding,United Kingdom,No
Summer Moon, Andrew Lucas,32,1700,307,7,9/17/15,Beach,Liquid,Liquid,Liquiding,United Kingdom,Yes
Three Curved Planes, David Stevens,2160,1700,665,34,6/22/94,Abstract,Solid,Solid,Sculpture,United States,No
Subjective Freedom I, Flora Borsi,1500,1750,16623,268,9/28/13,People,Digital,Digital,Digital,Hungary,Yes
Slow Burn, Lawrence Chvotzkin,120,1750,308,4,10/31/14,Geometric,Craft,Craft Liquid,Liquiding,United States,Yes
Blue Bird - Tribute to David Bowie, Flora Borsi,86.94,1795,1866,54,1/11/16,Celebrity,Digital,Digital,Collage,Hungary,Yes
Power pole (9), Luciano de Liberato,111.392,1800,1345,29,3/25/15,Abstract,Solid,Liquid,Liquiding,Italy,No
Drushba Eterna , Kathryn Dunlevie,648,1800,565,3,11/24/11,World Culture,Digital,Digital,Collage,United States,No
Solid Structural Study 4 - Draped & Folded, Stevi Michner,960,1800,268,3,2/28/15,Architecture,Digital,Craft Solid Solid canvas,Sculpture,United States,No
Papeles en negro y beige/Crafts on Craft and beige, Olga Armand Ugon,668.352,1800,1081,29,7/14/14,Abstract,Craft,Craft Liquid Textile,Collage,Uruguay,Yes
After autumn rain, xuan khanh nguyen,1489.32,1800,1158,41,3/6/16,Landscape,Liquid,Liquid,Liquiding,Vietnam,Yes
CEM083, Andrea de Ranieri,3936.256,1900,475,9,6/4/15,Abstract,Solid,Liquid Liquid Wax cement,Liquiding,Italy,Yes
Bluebell Fields - Original Liquid Liquiding, Gill Bustamante,2592,1900,243,5,11/17/15,Seasons,Liquid,Liquid Liquid,Liquiding,United Kingdom,Yes
Science For Two - Large Edition (1/5), Simon McCheung,144.4,1900,411,15,10/11/14,Fantasy,Digital,Other Craft Digital Manipulated,Digital,United Kingdom,No
White Rhino - (2 of 10), Lindsay Robertson,100.8,1950,1226,35,4/30/15,Animal,Craft,Craft Other,Digital,United Kingdom,No
Beach Rains, Sunday L,600,1995,410,10,3/5/15,Beach,Liquid,Liquid,Liquiding,United Kingdom,Yes
Whirlwinds at the beach, Alessandro Neckels,148.68,2000,625,7,2/28/14,Landscape,Liquid,Liquid,Liquiding,Italy,Yes
Slim Reverberations, Michael Covello,2112,2000,922,20,8/9/14,Abstract,Liquid,Liquid Craft collage,Liquiding,United States,No
Enforced Leisure 2, cath connolly hudson,1200,2000,622,39,10/18/14,Portrait,Liquid,Liquid,Liquiding,United States,Yes
